epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,233.391,1.66373,1.09519,1.23801,0.41703,0.23943,0.20632,0.06046,2.83868,2.04397,2.00076,0.00035382,0.00035382,0.00035382
116,235.444,1.67104,1.08547,1.23714,0.25065,0.25201,0.20382,0.05904,2.82749,2.08475,1.98112,0.000344389,0.000344389,0.000344389
117,237.135,1.61267,1.03898,1.20131,0.29248,0.23488,0.21312,0.06016,2.81418,2.09908,1.99932,0.000334958,0.000334958,0.000334958
118,238.85,1.61423,1.04629,1.22021,0.34397,0.32281,0.23057,0.06461,2.81089,1.99824,2.01562,0.000325526,0.000325526,0.000325526
119,240.939,1.68742,1.06577,1.23035,0.32401,0.30166,0.22266,0.06436,2.83208,2.01674,2.0199,0.000316095,0.000316095,0.000316095
120,242.99,1.6423,1.05327,1.22203,0.33312,0.22778,0.24058,0.06686,2.80247,1.95825,2.00713,0.000306663,0.000306663,0.000306663
121,244.759,1.63629,1.04443,1.21536,0.25976,0.31416,0.22757,0.06079,2.8306,2.03733,1.99015,0.000297232,0.000297232,0.000297232
122,246.757,1.56818,1.03173,1.1959,0.31626,0.22021,0.21703,0.05906,2.83248,2.0542,1.9739,0.000287801,0.000287801,0.000287801
123,248.421,1.61677,1.0415,1.21522,0.33778,0.21827,0.21791,0.06364,2.81862,2.03507,1.96725,0.000278369,0.000278369,0.000278369
124,250.3,1.53976,0.96899,1.18181,0.50559,0.25043,0.22922,0.06595,2.82689,1.98135,2.00661,0.000268938,0.000268938,0.000268938
125,252.133,1.59234,1.0203,1.21414,0.51424,0.23651,0.22695,0.06798,2.82132,1.99853,1.99542,0.000259506,0.000259506,0.000259506
126,254.02,1.58977,1.01635,1.18808,0.5082,0.24418,0.22893,0.06622,2.83495,2.03471,2.008,0.000250075,0.000250075,0.000250075
127,255.961,1.60101,1.03759,1.21142,0.31363,0.29171,0.23455,0.06119,2.84477,2.04871,2.02376,0.000240644,0.000240644,0.000240644
128,257.92,1.59953,1.03315,1.21855,0.30857,0.23955,0.23546,0.06557,2.79691,2.02574,1.98617,0.000231212,0.000231212,0.000231212
129,260.152,1.5987,1.02683,1.2098,0.27815,0.24738,0.22274,0.06325,2.80138,2.03761,1.97363,0.000221781,0.000221781,0.000221781
130,262.213,1.5699,1.01145,1.19961,0.25482,0.29512,0.21618,0.061,2.83642,1.99969,2.00142,0.000212349,0.000212349,0.000212349
131,264.244,1.5896,1.01478,1.20563,0.28478,0.25148,0.2244,0.06408,2.83765,1.96951,2.00394,0.000202918,0.000202918,0.000202918
132,266.23,1.56021,0.98061,1.18135,0.28799,0.24329,0.23596,0.06616,2.82309,1.99631,1.99909,0.000193487,0.000193487,0.000193487
133,268.044,1.58258,1.00419,1.1996,0.28058,0.23718,0.23048,0.06751,2.80941,2.04069,1.9931,0.000184055,0.000184055,0.000184055
134,269.832,1.59184,1.01442,1.19872,0.27422,0.30112,0.21884,0.06308,2.85053,2.10105,2.03746,0.000174624,0.000174624,0.000174624
135,272.034,1.60992,1.00406,1.19473,0.21346,0.28511,0.22935,0.06347,2.82282,2.06919,2.00778,0.000165192,0.000165192,0.000165192
136,274.934,1.3943,0.88396,1.15119,0.35004,0.27793,0.22031,0.06074,2.84225,2.02634,2.01558,0.000155761,0.000155761,0.000155761
137,276.631,1.34622,0.85037,1.13028,0.28938,0.2402,0.21047,0.05874,2.87156,2.01898,2.06693,0.00014633,0.00014633,0.00014633
138,278.474,1.40979,0.84214,1.13804,0.30265,0.23349,0.21172,0.05944,2.85598,2.01737,2.07526,0.000136898,0.000136898,0.000136898
139,280.236,1.37358,0.85263,1.15326,0.25086,0.25826,0.20867,0.06065,2.83933,2.00116,2.05055,0.000127467,0.000127467,0.000127467
140,282.327,1.3655,0.84141,1.11804,0.22799,0.27631,0.224,0.06086,2.84651,2.02616,2.05539,0.000118035,0.000118035,0.000118035
141,283.999,1.3701,0.81492,1.13296,0.29303,0.29466,0.21946,0.06282,2.85075,2.02987,2.06429,0.000108604,0.000108604,0.000108604
142,285.656,1.35542,0.80161,1.11689,0.34782,0.2867,0.22587,0.06477,2.82849,2.01327,2.03933,9.91726e-05,9.91726e-05,9.91726e-05
143,287.702,1.29753,0.77388,1.07816,0.37298,0.27548,0.2261,0.06411,2.81023,1.9819,2.00498,8.97412e-05,8.97412e-05,8.97412e-05
144,289.65,1.2007,2.25736,1.02851,0.39134,0.26185,0.23001,0.06661,2.81697,1.97449,2.0207,8.03098e-05,8.03098e-05,8.03098e-05
145,291.777,1.3208,0.77836,1.11469,0.42185,0.24783,0.2242,0.06724,2.82802,1.97825,2.03768,7.08784e-05,7.08784e-05,7.08784e-05
146,293.541,1.3129,0.76498,1.11307,0.4386,0.24841,0.22701,0.06598,2.8244,1.98021,2.03432,6.1447e-05,6.1447e-05,6.1447e-05
147,295.501,1.35306,0.79001,1.12687,0.42438,0.25436,0.22603,0.06622,2.82134,1.99742,2.01701,5.20156e-05,5.20156e-05,5.20156e-05
148,297.337,1.29793,0.76327,1.09197,0.39239,0.26802,0.2301,0.06648,2.82933,2.00298,2.01065,4.25842e-05,4.25842e-05,4.25842e-05
149,299.049,1.31733,0.77522,1.09647,0.39821,0.26582,0.22509,0.06512,2.83176,1.99583,2.01605,3.31528e-05,3.31528e-05,3.31528e-05
150,300.813,1.30169,0.82688,1.0931,0.45497,0.2644,0.22525,0.06517,2.83383,1.98634,2.02088,2.37214e-05,2.37214e-05,2.37214e-05
